開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
0593,00UE304,師培學院,,,,,,,教育議題專題（教）,Education Issues,2.0,選,半,高松景,一 8-9 和平 樸301,50,30,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,本課程以性教育議題為主。
0594,00UE311,師培學院,,,,,,,教育議題專題（教）,Education Issues,2.0,選,半,郝永崴,五 3-4 和平 教315,50,49,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,本課程以生命教育議題為主。
0595,00UE324,師培學院,,,,,,,教育議題專題（教）,Education Issues,2.0,選,半,林玫伶,二 8-9 和平 樸301,50,41,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,本課程以閱讀素養議題為主。
0596,00UE325,師培學院,A,,,,,,教育議題專題（教）,Education Issues,2.0,選,半,葉明芬,二 3-4 公館 Ｓ601,50,31,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,本課程以綜合、家庭議題為主。
0597,00UE325,師培學院,B,,,,,,教育議題專題（教）,Education Issues,2.0,選,半,葉明芬,二 8-9 和平 誠106,45,35,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,本課程以綜合、家庭議題為主。
0611,00UEB03,師培學院,,,,是,,,雙語教育概論（教）,Introduction to Bilingual Education,2.0,必,半,柯琦,五 3-4 和平 樸301,50,10,◎限 雙語修習資格生 可修,
0614,00UEB06,師培學院,A,,,是,,,雙語教育之課室英語（教）,Classroom English for Bilingual Education,3.0,選,半,柯琦,一 6-8 和平 誠204,50,23,◎限 雙語修習資格生 可修,
0615,00UEB06,師培學院,B,,,是,,,雙語教育之課室英語（教）,Classroom English for Bilingual Education,3.0,選,半,柯琦,四 6-8 和平 樸401,50,28,◎限 雙語修習資格生 可修,
0630,00UE105,師培學院,,4,,,,,圖文傳播探究與實作（教）,Graphic Communication Research and Implementation,2.0,選,半,廖信,"一 6 和平 視聽教室, 二 6 和平 視聽教室",50,8,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 可修◎必須先修過【GCUE310  設計群教學實習（一）（教）】◎必須先修過(也可以同時修)【GCUE410  設計群教學實習（二）（教）】,第一次上課務必出席，如有任何問題請與授課老師聯繫。
0697,PCUE102,心輔系（學）,,4,,,,,生涯規劃教育服務學習（教）,Educational Service Learning in Career Planning,2.0,選,半,張雨霖,二 1-4 和平 教515,50,13,◎限 二階生 教育學程生 不佔名額生 登記修習生 可修◎必須先修過【PCUE110  生涯規劃教學實習（教）】、【PCU0150  學校諮商實習（一）】,
1654,CHUE076,國文系（學）,,,,,,,教學媒體與運用（教）,Instructional Medium,2.0,選,半,黃琇苓,三 8-9 和平 樸304,50,0,◎限 二階生 教育學程生 不佔名額生（已修畢教程） 不佔名額生 可修,
2726,MAUE075,數學系（學）,,3,,,,,課程發展與設計（教）,Curriculum Development and Design,2.0,選,半,唐書志,三 9-10 公館 數學館M212,50,33,◎限 二階生 教育學程生 不佔名額生 登記修習生 可修,
2727,MAUE076,數學系（學）,,3,,,,,教學媒體與運用（教）,Instructional Medium,2.0,選,半,左台益 呂鳳琳,一 3-4 公館 理圖807,50,29,◎限 二階生 教育學程生 不佔名額生 登記修習生 可修,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
